PolicyID,State Code,County,2011,2012,Latitude,Longitude,Line,Construction,Point Granularity
119736,FL,CLAY COUNTY,498960,792148.9,30.102261,-81.711777,Residential,Masonry,1
448094,FL,CLAY COUNTY,1322376.3,1438163.57,30.063936,-81.707664,Residential,Masonry,3
206893,FL,CLAY COUNTY,190724.4,192476.78,30.089579,-81.700455,Residential,Wood,1
333743,FL,CLAY COUNTY,79520.76,86854.48,30.063236,-81.707703,Residential,Wood,3
172534,FL,CLAY COUNTY,254281.5,246144.49,30.060614,-81.702675,Residential,Wood,1
785275,FL,CLAY COUNTY,515035.62,884419.17,30.063236,-81.707703,Residential,Masonry,3
995932,FL,CLAY COUNTY,19260000,20610000,30.102226,-81.713882,Commercial,Reinforced Concrete,1
223488,FL,CLAY COUNTY,328500,348374.25,30.102217,-81.707146,Residential,Wood,1
433512,FL,CLAY COUNTY,315000,265821.57,30.118774,-81.704613,Residential,Wood,1
142071,FL,CLAY COUNTY,705600,1010842.56,30.100628,-81.703751,Residential,Masonry,1
253816,FL,CLAY COUNTY,831498.3,1117791.48,30.10216,-81.719444,Residential,Masonry,1
894922,FL,CLAY COUNTY,24059.09,33952.19,30.095957,-81.695099,Residential,Wood,1
422834,FL,CLAY COUNTY,48115.94,66755.39,30.100073,-81.739822,Residential,Wood,1
582721,FL,CLAY COUNTY,28869.12,42826.99,30.09248,-81.725167,Residential,Wood,1
842700,FL,CLAY COUNTY,56135.64,50656.8,30.101356,-81.726248,Residential,Wood,1
874333,FL,CLAY COUNTY,48115.94,67905.07,30.113743,-81.727463,Residential,Wood,1
580146,FL,CLAY COUNTY,48115.94,66938.9,30.121655,-81.732391,Residential,Wood,3
456149,FL,CLAY COUNTY,80192.49,86421.04,30.109537,-81.741661,Residential,Wood,1
767862,FL,CLAY COUNTY,48115.94,73798.5,30.11824,-81.745335,Residential,Wood,3
353022,FL,CLAY COUNTY,60946.79,62467.29,30.065799,-81.717416,Residential,Wood,1
367814,FL,CLAY COUNTY,28869.12,42727.74,30.082993,-81.710581,Residential,Wood,1
671392,FL,CLAY COUNTY,13410000,11700000,30.091921,-81.711929,Commercial,Reinforced Concrete,3
772887,FL,CLAY COUNTY,1669113.93,2099127.76,30.117352,-81.711884,Residential,Masonry,1
983122,FL,CLAY COUNTY,179562.23,211372.57,30.095783,-81.713181,Residential,Wood,3
934215,FL,CLAY COUNTY,177744.16,157171.16,30.110518,-81.727478,Residential,Wood,1
385951,FL,CLAY COUNTY,17757.58,16948.72,30.10288,-81.705719,Residential,Wood,1
716332,FL,CLAY COUNTY,130129.87,101758.43,30.068468,-81.71624,Residential,Wood,1
751262,FL,CLAY COUNTY,42854.77,63592.88,30.068468,-81.71624,Residential,Wood,1
633663,FL,CLAY COUNTY,785.58,662.18,30.068468,-81.71624,Residential,Wood,1
105851,FL,CLAY COUNTY,170361.91,177176.38,30.068468,-81.71624,Residential,Wood,1
710400,FL,CLAY COUNTY,1430.89,1861.41,30.068468,-81.71624,Residential,Wood,1
703001,FL,CLAY COUNTY,129913.27,101692.86,30.079785,-81.706865,Residential,Wood,4
352792,FL,CLAY COUNTY,366285.62,507164.19,30.08012,-81.718452,Residential,Masonry,1
717603,FL,CLAY COUNTY,22512.61,28637.17,30.08012,-81.718452,Residential,Wood,1
937659,FL,SUWANNEE COUNTY,9246.6,10880.22,29.959805,-82.926659,Residential,Wood,3
294022,FL,SUWANNEE COUNTY,96164.64,69357.78,29.959805,-82.926659,Residential,Wood,3
410500,FL,SUWANNEE COUNTY,11095.92,12737.89,29.959805,-82.926659,Residential,Wood,3
524433,FL,SUWANNEE COUNTY,218475,199030.29,29.962601,-82.926155,Residential,Wood,3
779298,FL,SUWANNEE COUNTY,1400904,1772984.1,29.962601,-82.926155,Residential,Masonry,3
491831,FL,SUWANNEE COUNTY,4365,4438.05,29.962601,-82.926155,Residential,Wood,3
814637,FL,SUWANNEE COUNTY,4365,6095.72,29.962601,-82.926155,Residential,Wood,3
737515,FL,SUWANNEE COUNTY,39789,58106.58,29.962601,-82.926155,Residential,Wood,3
222653,FL,SUWANNEE COUNTY,24867,18969.79,29.962601,-82.926155,Residential,Wood,3
788543,FL,SUWANNEE COUNTY,213876,261435.18,29.962601,-82.926155,Residential,Wood,3
691681,FL,SUWANNEE COUNTY,69435,93674.34,29.960735,-82.92542,Residential,Wood,3
368807,FL,SUWANNEE COUNTY,14922,12333.03,29.960735,-82.92542,Residential,Wood,3
174002,FL,SUWANNEE COUNTY,165546,239134.51,29.963396,-82.916763,Residential,Wood,1
198760,FL,SUWANNEE COUNTY,72837,86637.86,29.963396,-82.916763,Residential,Wood,1
831395,FL,SUWANNEE COUNTY,72837,98147.86,29.963396,-82.916763,Residential,Wood,1
305698,FL,SUWANNEE COUNTY,19440,30658.59,29.963396,-82.916763,Residential,Wood,1
515722,FL,SUWANNEE COUNTY,9945,11551.12,29.963396,-82.916763,Residential,Wood,1
415582,FL,SUWANNEE COUNTY,255878.61,345894.66,29.958415,-82.92394,Residential,Wood,3
783533,FL,SUWANNEE COUNTY,153527.17,138228.8,29.9696,-82.92767,Residential,Wood,4
640802,FL,SUWANNEE COUNTY,255878.61,177339.74,29.959404,-82.927582,Residential,Wood,1
403866,FL,SUWANNEE COUNTY,102351.45,95132.8,29.958904,-82.922729,Residential,Wood,3
