Name,No.,Gender,YOB,Count
Merida,5,M,1880,2
Roll,5,M,1881,2
Zilpah,9,F,1881,
Lelie,5,F,1885,2
Ng,5,M,1885,2
Sip,5,M,1885,
Ottillie,5,F,1886,2
Pembroke,5,M,1887,2
Bengiman,5,M,1888,
Etelka,5,F,1888,
Pantha,5,F,1888,
Lelie,5,M,1889,2
Merida,5,F,1889,2
Roll,6,M,1889,2
Zilpah,5,F,1889,
Ng,5,F,1890,2
Ottillie,6,F,1890,2
Sip,8,F,1890,
Euphemie,5,F,1891,
Navajo,5,M,1891,
Pembroke,5,F,1891,2
Whitelaw,5,M,1892,
Wint,5,M,1892,2
Hedwige,7,F,1893,
Lyde,6,F,1893,2
Pomp,5,M,1893,2
Stazie,6,F,1893,2
Bess,5,M,1894,2
Onezia,5,F,1894,2
Gwladys,5,F,1895,2
Icia,5,F,1895,2
Isal,7,F,1895,
Myrtte,6,F,1895,
Wint,5,F,1895,2
Hedwige,5,F,1896,
Lyde,5,F,1897,2
Stazie,7,M,1897,2
Bess,5,F,1898,2
Gwladys,5,F,1898,2
Icia,5,F,1898,2
Onezia,9,F,1898,2
Pomp,5,F,1898,2
Schley,10,M,1898,
Zudie,5,F,1898,
Pellie,5,F,1899,
Alleine,5,F,1900,
Bruster,5,M,1900,
Henrettia,6,F,1900,
Leanner,5,F,1900,
Ursule,6,F,1900,
Kinnie,5,F,1901,
Azema,5,F,1902,
Lelea,5,F,1902,2
Celestie,5,F,1903,2
Narsis,5,F,1903,2
Pheobie,7,F,1903,2
Berthal,6,F,1904,2
Killis,5,M,1905,2
Mintha,5,F,1905,2
Pioet,5,M,1905,2
Clevia,5,F,1906,2
Eary,5,F,1906,2
Leonis,5,F,1906,2
Molla,5,F,1906,2
Nellda,6,F,1906,
Ocey,6,F,1906,
Dacie,5,M,1907,
Lanham,6,M,1907,
Leecy,5,F,1907,
Odra,5,F,1907,
Oklahoma,5,F,1907,
Artena,5,F,1908,
Essye,5,F,1908,
Malvie,5,F,1908,
Oshie,5,F,1908,
Argatha,5,F,1909,
Capus,5,M,1910,
Lauda,5,F,1910,
Leneve,7,F,1910,
Rosamonde,5,F,1910,
Caro,5,M,1911,
Gaither,6,F,1911,
Lavette,5,M,1911,
Berthal,6,F,1912,2
Celestie,5,F,1912,2
Clevia,6,F,1912,2
Creel,5,M,1912,
Eary,5,F,1912,2
Edlow,7,M,1912,
Gillespie,5,M,1912,
Hoffman,5,M,1912,
Hub,5,M,1912,
Killis,5,F,1912,2
Lelea,5,F,1912,2
Leonis,5,F,1912,2
Mintha,6,F,1912,2
Molla,5,M,1912,2
Narsis,5,F,1912,2
Pheobie,6,F,1912,2
Pioet,5,F,1912,2
Warder,6,M,1912,2
Zeak,6,M,1912,2
Abney,5,M,1913,2
Accursio,5,M,1913,2
Athlyn,5,F,1913,2
Athlyn,6,M,1913,2
Audella,5,F,1913,2
Audella,5,M,1913,2
Azena,5,F,1913,2
Azena,5,M,1913,2
Colquitt,5,M,1913,2
Curl,5,M,1913,
Demus,5,M,1913,
Folke,5,M,1913,
Gaillard,6,M,1913,
Huldia,5,F,1913,2
Huldia,5,M,1913,2
Luellen,5,M,1913,
Motie,5,F,1913,2
Nixola,6,F,1913,2
Olas,5,M,1913,
Oleane,6,F,1913,2
Ruel,5,F,1913,2
Warder,5,M,1913,2
Wilcie,5,F,1913,2
Zeak,5,M,1913,2
Abney,5,F,1914,2
Accursio,5,F,1914,2
Alph,7,M,1914,
Amilcare,6,M,1914,
Anello,5,M,1914,
Carranza,5,M,1914,
Colquitt,5,F,1914,2
Evar,5,M,1914,
Fair,5,M,1914,
Fozie,5,F,1914,
Gernie,5,M,1914,
Gertrudes,6,F,1914,
Glida,6,F,1914,
Gola,5,M,1914,
Helmie,5,F,1914,
Hillory,5,M,1914,
Jabus,5,M,1914,
Lalie,6,F,1914,
Leokadja,5,F,1914,
Leoler,6,F,1914,
Linza,5,M,1914,2
Maywood,6,F,1914,
Merchant,6,M,1914,2
Mickelina,5,F,1914,
Motie,6,F,1914,2
Nevins,5,M,1914,2
Nixola,5,F,1914,2
Nolie,7,M,1914,2
Oleane,5,F,1914,2
Oley,5,F,1914,
Orden,7,M,1914,2
Orvo,6,M,1914,2
Pretto,10,F,1914,2
Rivera,10,F,1914,2
Rochus,5,M,1914,2
Ruel,5,F,1914,2
Scholastica,13,F,1914,2
Secondo,9,M,1914,
Stance,5,M,1914,2
Sydonia,5,F,1914,
Tench,5,M,1914,2
Thurber,5,M,1914,
Vardie,6,M,1914,
Voneda,5,F,1914,
Wilcie,5,F,1914,2
Williamina,5,F,1914,
Aage,7,M,1915,
Aagot,11,F,1915,
Addah,10,F,1915,
Adelean,10,F,1915,2
Adelore,5,M,1915,
Alferetta,10,F,1915,2
Almar,10,F,1915,3
Arpie,10,F,1915,2
Avor,10,F,1915,2
Beach,5,M,1915,
Beatha,5,F,1915,
Berlina,5,F,1915,
Berther,7,F,1915,
Bomer,5,M,1915,
Boswell,5,M,1915,
Bransford,5,M,1915,
Burdelle,5,F,1915,
Burdine,5,F,1915,
Carriebell,5,F,1915,
Charlcy,5,F,1915,
Clellie,5,M,1915,2
Cosie,5,F,1915,
Covie,5,F,1915,
Damase,5,M,1915,
Dencie,6,F,1915,
Desda,8,F,1915,
Dewit,5,M,1915,
Edwidge,6,F,1915,2
Elof,6,M,1915,
Elphie,5,F,1915,
Ewalt,5,M,1915,
Ferdynand,5,M,1915,
Geter,5,M,1915,
Gregoria,6,M,1915,
Gustie,5,M,1915,
Halfred,6,M,1915,
Halstead,5,M,1915,
Idas,5,M,1915,
Irey,6,M,1915,
Ivison,5,M,1915,
Ivyl,5,M,1915,
Kalmer,5,M,1915,
Linza,6,F,1915,2
Loyall,5,M,1915,
Ludwell,5,M,1915,
Maurietta,5,F,1915,
Mayzelle,5,F,1915,
Merchant,5,F,1915,2
Merten,6,M,1915,
Myrabelle,6,F,1915,
Myril,5,F,1915,
Myrtus,6,F,1915,
Nevins,5,F,1915,2
Nolie,5,F,1915,2
Nondus,5,F,1915,
Noral,5,M,1915,
Oder,5,M,1915,
Okal,6,F,1915,
Olida,5,F,1915,
Ollye,5,F,1915,
Olva,5,M,1915,
Orden,5,F,1915,2
Orvo,5,F,1915,2
Ozena,5,F,1915,
Patsey,5,M,1915,
Philibert,5,M,1915,
Relis,5,M,1915,
Renie,6,M,1915,
Ridgway,6,M,1915,
Rochus,5,F,1915,2
Saichi,5,M,1915,
